2026-08-10 20:49:51 | INFO | MY-AI.application | Initializing MY-AI application...
2026-08-10 20:49:51 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-08-10 20:49:51 | INFO | MY-AI.database | Database initialization successful.
2026-08-10 20:49:51 | INFO | MY-AI.application | Detecting hardware...
2026-08-10 20:49:56 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-08-10 20:49:56 | INFO | MY-AI.application | Initializing UI...
2026-08-10 20:49:56 | INFO | MY-AI.application | MY-AI started.
2026-08-10 20:50:23 | INFO | MY-AI.application | MY-AI shutting down...
2026-08-10 20:50:23 | INFO | MY-AI.database | Database connection closed.
2026-08-10 20:52:52 | INFO | MY-AI.application | Initializing MY-AI application...
2026-08-10 20:52:52 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-08-10 20:52:52 | INFO | MY-AI.database | Database initialization successful.
2026-08-10 20:52:52 | INFO | MY-AI.application | Detecting hardware...
2026-08-10 20:52:54 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-08-10 20:52:54 | INFO | MY-AI.application | Initializing UI...
2026-08-10 20:52:54 | INFO | MY-AI.application | MY-AI started.
2026-08-10 20:54:23 | INFO | MY-AI.application | MY-AI shutting down...
2026-08-10 20:54:23 | INFO | MY-AI.database | Database connection closed.
2026-08-10 20:55:22 | INFO | MY-AI.application | Initializing MY-AI application...
2026-08-10 20:55:22 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-08-10 20:55:22 | INFO | MY-AI.database | Database initialization successful.
2026-08-10 20:55:22 | INFO | MY-AI.application | Detecting hardware...
2026-08-10 20:55:24 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-08-10 20:55:24 | INFO | MY-AI.application | Initializing UI...
2026-08-10 20:55:24 | INFO | MY-AI.application | MY-AI started.
2026-08-10 20:55:42 | INFO | MY-AI.application | MY-AI shutting down...
2026-08-10 20:55:42 | INFO | MY-AI.database | Database connection closed.
2026-08-10 21:54:02 | INFO | MY-AI.application | Initializing MY-AI application...
2026-08-10 21:54:02 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-08-10 21:54:02 | INFO | MY-AI.database | Database initialization successful.
2026-08-10 21:54:02 | INFO | MY-AI.application | Detecting hardware...
2026-08-10 21:54:05 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-08-10 21:54:05 | INFO | MY-AI.application | Initializing UI...
2026-08-10 21:54:06 | INFO | MY-AI.application | MY-AI started.
2026-08-10 21:55:38 | INFO | MY-AI.application | Initializing MY-AI application...
2026-08-10 21:55:38 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-08-10 21:55:38 | INFO | MY-AI.database | Database initialization successful.
2026-08-10 21:55:38 | INFO | MY-AI.application | Detecting hardware...
2026-08-10 21:55:40 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-08-10 21:55:40 | INFO | MY-AI.application | Initializing UI...
2026-08-10 21:55:40 | INFO | MY-AI.application | MY-AI started.
2026-08-10 21:55:51 | INFO | MY-AI.application | MY-AI shutting down...
2026-08-10 21:55:51 | INFO | MY-AI.database | Database connection closed.
